date,change,change_per,trade_qty,trade_money,foreign_money,agency,end_price,domestic_money
2018-01-16,18.01,0.72,341606,6913692,2768,-249,2521.74,-2777
2018-01-15,7.31,0.29,404550,6118634,244,-73,2503.73,-698
2018-01-12,8.51,0.34,438775,8772175,-1175,1433,2496.42,-871
2018-01-11,-11.84,-0.47,444340,7789310,1755,-4919,2487.91,3169
2018-01-10,-10.48,-0.42,444022,8577963,-2788,728,2499.75,1302
2018-01-09,-3.05,-0.12,374322,7345518,438,1689,2510.23,-2605
2018-01-08,15.76,0.63,311429,6404885,3908,-802,2513.28,-3511
2018-01-05,31.06,1.26,308769,6317518,2457,541,2497.52,-3704
2018-01-04,-19.89,-0.8,333836,6896287,3358,-3544,2466.46,442
2018-01-03,6.7,0.27,331094,6019622,3992,-3763,2486.35,-241
2018-01-02,12.16,0.49,262205,4786386,2634,-2343,2479.65,-267
2017-12-28,30.82,1.26,220336,4274352,1797,279,2467.49,-2128
2017-12-27,9.33,0.38,194850,4845393,-1092,-1077,2436.67,4658
2017-12-26,-13.2,-0.54,224640,5641602,157,8271,2427.34,-8944
2017-12-22,10.71,0.44,230412,4801820,1312,3206,2440.54,-8490
2017-12-21,-42.54,-1.72,247330,5351502,-3274,3209,2429.83,-83
2017-12-20,-6.16,-0.25,236176,4748794,-3075,5300,2472.37,-3680
2017-12-19,-3.35,-0.13,308390,5239923,638,2550,2478.53,-3571
2017-12-18,-0.19,-0.01,322765,4408039,-1675,2367,2481.88,-1294
2017-12-15,12.59,0.51,340758,6047301,-2020,3136,2482.07,-2569
2017-12-14,-11.07,-0.45,317786,8276523,3849,490,2469.48,-3781
2017-12-13,19.55,0.79,254953,5121323,-2054,6015,2480.55,-5119
2017-12-12,-10.49,-0.42,281191,5292539,-2445,1305,2461.0,1475
2017-12-11,7.49,0.3,240137,4613094,-1660,2020,2471.49,-916
2017-12-08,2.02,0.08,406381,5484859,-1041,1477,2464.0,387
2017-12-07,-12.39,-0.5,404853,6307570,-3383,4313,2461.98,-447
2017-12-06,-35.75,-1.42,507624,6651308,-3382,895,2474.37,2514
2017-12-05,8.45,0.34,395429,5926806,317,2609,2510.12,-3475
2017-12-04,26.26,1.06,323846,6056436,1472,1745,2501.67,-2581
2017-12-01,-0.96,-0.04,288567,5740174,-1939,1388,2475.41,1404
2017-11-30,-36.53,-1.45,339022,9397571,-6000,4024,2476.37,1932
2017-11-29,-1.29,-0.05,301208,5277563,-1621,1500,2512.9,-805
2017-11-28,6.38,0.25,348243,6518925,-1638,1884,2514.19,-3766
2017-11-27,-36.52,-1.44,284887,6257121,-4535,504,2507.81,4533
