date,foreign_stock_qty,foreign_stock_ratio,foreign_bid,agency_bid,end_price,change,change_per
2018-01-16,197092891,30.7,-4022,-217549,36300.0,100.0,0.28
2018-01-15,197096913,30.7,-200651,-80300,36200.0,-250.0,-0.69
2018-01-12,197297564,30.73,-184312,-232463,36450.0,-250.0,-0.68
2018-01-11,197481876,30.76,-264488,-622926,36700.0,-700.0,-1.87
2018-01-10,197746364,30.8,63266,-57813,37400.0,100.0,0.27
2018-01-09,197683098,30.79,-276469,-88164,37300.0,0.0,0.0
2018-01-08,197959567,30.84,251531,-258540,37300.0,100.0,0.27
2018-01-05,197708036,30.8,-78259,-206665,37200.0,0.0,0.0
2018-01-04,197786295,30.81,-114297,-509126,37200.0,-350.0,-0.93
2018-01-03,197900592,30.83,131082,-482019,37550.0,-200.0,-0.53
2018-01-02,197769510,30.81,-52652,-327745,37750.0,-400.0,-1.05
2017-12-28,197822162,30.82,101770,-303386,38150.0,-250.0,-0.65
2017-12-27,197720392,30.8,74294,-179716,38400.0,-700.0,-1.79
2017-12-26,197646098,30.79,-99435,332637,39100.0,350.0,0.9
2017-12-22,197745533,30.8,-92134,120449,38750.0,50.0,0.13
2017-12-21,197837667,30.82,-368521,-54247,38700.0,-550.0,-1.4
2017-12-20,198206188,30.87,-169195,323673,39250.0,300.0,0.77
2017-12-19,198375383,30.9,-52158,94572,38950.0,-250.0,-0.64
2017-12-18,198427541,30.91,-126979,164824,39200.0,200.0,0.51
2017-12-15,198554520,30.93,-158329,197101,39000.0,300.0,0.78
2017-12-14,198712849,30.95,527645,116035,38700.0,250.0,0.65
2017-12-13,198185204,30.87,-185130,125627,38450.0,350.0,0.92
2017-12-12,198370334,30.9,-93343,91151,38100.0,200.0,0.53
2017-12-11,198463677,30.92,-296817,50778,37900.0,-100.0,-0.26
2017-12-08,198760494,30.96,-498338,9289,38000.0,-850.0,-2.19
2017-12-07,199258832,31.04,-243547,538901,38850.0,400.0,1.04
2017-12-06,199502379,31.08,-249540,124675,38450.0,-350.0,-0.9
2017-12-05,199751919,31.12,-239756,797828,38800.0,950.0,2.51
2017-12-04,199991675,31.15,-10943,-58499,37850.0,-100.0,-0.26
2017-12-01,200002618,31.15,36877,5951,37950.0,450.0,1.2
2017-11-30,199965741,31.15,-161892,-70503,37500.0,-400.0,-1.06
2017-11-29,200127633,31.17,-236393,-46996,37900.0,-400.0,-1.04
2017-11-28,200364026,31.21,-114074,134207,38300.0,50.0,0.13
2017-11-27,200478100,31.23,-82526,86312,38250.0,200.0,0.53
2017-11-24,200560626,31.24,25879,79324,38050.0,550.0,1.47
2017-11-23,200534747,31.24,-95879,-54106,37500.0,0.0,0.0
2017-11-22,200630626,31.25,-53489,-243930,37500.0,-50.0,-0.13
2017-11-21,200684115,31.26,-93826,-22638,37550.0,100.0,0.27
2017-11-20,200777941,31.28,3641,-581448,37450.0,-400.0,-1.06
2017-11-17,200774300,31.28,93055,-203013,37850.0,50.0,0.13
2017-11-16,200681245,31.26,-7762,-70058,37800.0,-100.0,-0.26
2017-11-15,200689007,31.26,-50815,91645,37900.0,-50.0,-0.13
2017-11-14,200739822,31.27,-254103,-269441,37950.0,-300.0,-0.78
2017-11-13,200993925,31.31,-203085,-35193,38250.0,-350.0,-0.91
2017-11-10,201197010,31.34,-232829,34382,38600.0,350.0,0.92
2017-11-09,201429839,31.38,-273855,198,38250.0,-250.0,-0.65
2017-11-08,201703694,31.42,-15516,-80343,38500.0,250.0,0.65
2017-11-07,201719210,31.42,-250111,-310322,38250.0,-450.0,-1.16
2017-11-06,201969321,31.46,-137757,-155905,38700.0,-450.0,-1.15
2017-11-03,202107078,31.48,64200,126178,39150.0,800.0,2.09
2017-11-02,202042878,31.47,21050,-363604,38350.0,-200.0,-0.52
2017-11-01,202021828,31.47,-167965,-612850,38550.0,-650.0,-1.66
2017-10-31,202189793,31.5,28588,-185427,39200.0,300.0,0.77
2017-10-30,202161205,31.49,142313,-352310,38900.0,50.0,0.13
2017-10-27,202018892,31.47,-384473,-13197,38850.0,-300.0,-0.77
2017-10-26,202403365,31.53,-76341,-357975,39150.0,-850.0,-2.12
2017-10-25,202479706,31.54,381669,-440191,40000.0,-250.0,-0.62
2017-10-24,202098037,31.48,337581,-213481,40250.0,-150.0,-0.37
2017-10-23,201760456,31.43,121918,-488065,40400.0,-700.0,-1.7
2017-10-20,201638538,31.41,24047,298063,41100.0,250.0,0.61
2017-10-19,201614491,31.41,313655,221666,40850.0,1250.0,3.16
2017-10-18,201300836,31.36,-18364,75895,39600.0,-200.0,-0.5
2017-10-17,201319200,31.36,-170244,285845,39800.0,100.0,0.25
2017-10-16,201489444,31.39,-233206,339278,39700.0,600.0,1.53
2017-10-13,201722650,31.42,-288620,437898,39100.0,1300.0,3.44
2017-10-12,202011270,31.47,321555,-309730,37800.0,450.0,1.2
2017-10-11,201722650,31.42,-740551,-403364,37350.0,-750.0,-1.97
